WARN: Client connection error: Connection reset
ETR at step 7 = 27.0
ETR at step 8 = 32.00000000000001
ETR at step 9 = 34.99999999999999
ETR at step 10 = 38.00000000000001
ETR at step 11 = 39.99999999999999
ETR at step 12 = 42.99999999999999
ETR at step 13 = 45.0
ETR at step 14 = 49.00000000000001
ETR at step 15 = 53.0
ETR at step 16 = 57.0
ETR at step 17 = 60.00000000000001
ETR at step 18 = 61.0
ETR at step 19 = 61.0
ETR at step 20 = 61.000000000000014
ETR at step 21 = 61.0
ETR at step 22 = 60.999999999999986
ETR at step 23 = 61.00000000000001
ETR at step 24 = 61.00000000000002
ETR at step 25 = 61.999999999999986
ETR at step 26 = 61.0
ETR at step 27 = 61.00000000000001
ETR at step 28 = 61.0
ETR at step 29 = 61.99999999999999
ETR at step 30 = 62.00000000000001
ETR at step 31 = 63.0
ETR at step 32 = 62.99999999999999
ETR at step 33 = 63.0
ETR at step 34 = 63.0
ETR at step 35 = 62.999999999999986
ETR at step 36 = 62.99999999999999
ETR at step 37 = 63.999999999999986
ETR at step 38 = 63.999999999999986
ETR at step 39 = 63.99999999999999
ETR at step 40 = 64.0
ETR at step 0 = 4.440892098500626E-16
ETR at step 1 = 3.0000000000000027
ETR at step 2 = 8.000000000000005
ETR at step 3 = 11.999999999999998
ETR at step 4 = 14.000000000000009
ETR at step 5 = 17.000000000000004
ETR at step 6 = 19.0
ETR at step 7 = 23.000000000000007
ETR at step 8 = 27.000000000000004
ETR at step 9 = 30.0
ETR at step 10 = 33.00000000000001
ETR at step 11 = 38.0
ETR at step 12 = 42.999999999999986
ETR at step 13 = 45.99999999999999
ETR at step 14 = 49.0
ETR at step 15 = 51.0
ETR at step 16 = 54.00000000000001
ETR at step 17 = 57.99999999999999
ETR at step 18 = 60.99999999999999
ETR at step 19 = 63.0
ETR at step 20 = 65.99999999999999
ETR at step 21 = 70.0
ETR at step 22 = 75.00000000000003
ETR at step 23 = 80.0
ETR at step 24 = 83.0
ETR at step 25 = 85.99999999999999
ETR at step 26 = 88.99999999999999
ETR at step 27 = 92.00000000000001
ETR at step 28 = 94.99999999999999
ETR at step 29 = 96.99999999999999
ETR at step 30 = 99.99999999999999
ETR at step 31 = 103.0
ETR at step 32 = 108.0
ETR at step 33 = 113.0
ETR at step 34 = 117.00000000000001
ETR at step 35 = 120.0
ETR at step 36 = 120.0
ETR at step 37 = 120.00000000000001
ETR at step 38 = 120.0
ETR at step 39 = 120.99999999999999
ETR at step 40 = 121.0
ETR at step 0 = 4.440892098500626E-16
ETR at step 1 = 4.000000000000003
ETR at step 2 = 7.0000000000000036
ETR at step 3 = 10.999999999999995
ETR at step 4 = 16.000000000000004
ETR at step 5 = 22.000000000000007
ETR at step 6 = 24.99999999999999
ETR at step 7 = 25.000000000000007
ETR at step 8 = 26.0
ETR at step 9 = 26.000000000000007
ETR at step 10 = 27.000000000000004
ETR at step 11 = 26.999999999999993
